Bedrooms,Bathrooms,City,Zip_Code,Neighborhood,Avg_Rent,Avg_Sqft,Concierge,Lounge,A/C,Smoke Free,Pets Allowed,Pool,Gym,Laundry,Gated,Furnished,Wheelchair Accessible,Carpet,Wood Floor,Plank Floor,Tile Floor
1,1.0,Oakland,94612,Lakeside,3510 ,869.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
1,1.0,Oakland,94612,Lakeside,3815 ,1244.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
1,1.0,Oakland,94612,Lakeside,3900 ,1158.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
1,1.0,Oakland,94612,Lakeside,4255 ,1286.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
2,2.0,Oakland,94612,Lakeside,3542,812.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
2,2.0,Oakland,94612,Lakeside,3605,1012.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
2,2.0,Oakland,94612,Lakeside,3625,928.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
2,2.0,Oakland,94612,Lakeside,3670,903.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
2,2.0,Oakland,94612,Lakeside,3690 ,1039.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
2,2.0,Oakland,94612,Lakeside,3755,1007.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
2,2.0,Oakland,94612,Lakeside,3802,997.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
2,2.0,Oakland,94612,Lakeside,3908,1085.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
2,2.0,Oakland,94612,Lakeside,4292,1034.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
2,2.0,Oakland,94612,Lakeside,4441 ,1284.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
2,2.0,Oakland,94612,Lakeside,4487 ,1405.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
2,2.0,Oakland,94612,Lakeside,4542,1032.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
1,1.0,Oakland,94612,Lakeside,3280 ,852.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
2,2.0,Oakland,94612,Lakeside,4260 ,1177.0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
1,1.0,Oakland,94612,Lakeside,2940,658.0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1
1,1.0,Oakland,94612,Lakeside,2902,690.0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1
1,1.0,Oakland,94612,Lakeside,2988,710.0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1
1,1.0,Oakland,94612,Lakeside,3476,753.0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1
1,1.0,Oakland,94612,Lakeside,3470,627.0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1
2,2.0,Oakland,94612,Lakeside,4141,998.0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1
2,2.0,Oakland,94612,Lakeside,4670,1090.0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1
2,2.0,Oakland,94612,Lakeside,4930,1095.0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1
2,2.0,Oakland,94612,Lakeside,4724,1062.0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1
2,2.0,Oakland,94612,Lakeside,5282,1147.0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1
2,2.0,Oakland,94612,Lakeside,5258,1257.0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1
3,2.0,Oakland,94612,Lakeside,5936,1338.0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1
1,1.0,Oakland,94612,Lakeside,4040,847.0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1
0,1.0,Oakland,94612,Uptown Oakland,2740,558.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
0,1.0,Oakland,94612,Uptown Oakland,3098,550.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
1,1.0,Oakland,94612,Uptown Oakland,3033,722.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
2,2.0,Oakland,94612,Uptown Oakland,3725,934.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
2,2.0,Oakland,94612,Uptown Oakland,3898,1076.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
2,2.0,Oakland,94612,Uptown Oakland,4434,1197.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
3,2.5,Oakland,94612,Uptown Oakland,4465,1220.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
3,2.5,Oakland,94612,Uptown Oakland,4523,1249.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
3,3.0,Oakland,94612,Uptown Oakland,4736,1245.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
3,3.0,Oakland,94612,Uptown Oakland,4815,1211.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
0,1.0,Oakland,94612,Uptown Oakland,3088,513.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
1,1.0,Oakland,94612,Uptown Oakland,3395,683.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
1,1.0,Oakland,94612,Uptown Oakland,3388,686.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
1,1.0,Oakland,94612,Uptown Oakland,4005 ,881.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
2,2.0,Oakland,94612,Uptown Oakland,4409,1088.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
2,2.0,Oakland,94612,Uptown Oakland,4170,1051.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
2,2.0,Oakland,94612,Uptown Oakland,4075 ,960.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
2,2.0,Oakland,94612,Uptown Oakland,4145,990.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
2,2.0,Oakland,94612,Uptown Oakland,4228,1093.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
2,2.0,Oakland,94612,Uptown Oakland,5010 ,1225.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
3,3.0,Oakland,94612,Uptown Oakland,5015 ,1389.0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
